,comments,sentiment,tokens
18742,그 초반에 밀크 티랑 같이 만드는 딸기 음료수를 딸기 1 우유 08 정도 넣고 섞은 다음에 유유를 채워서 섞지 않으면 빨대로 잘 섞이는 농도에 더 예쁘지 않을까요 의 견입니다,0,"['그', '초반', '에', '밀크', '티', '랑', '같이', '만드는', '딸기', '음료수', '를', '딸기', '1', '우유', '08', '정도', '넣고', '섞은', '다음', '에', '유유', '를', '채워서', '섞지', '않으면', '빨대', '로', '잘', '섞이는', '농도', '에', '더', '예쁘지', '않을까요', '의', '견입니', '다']"
18743,지덜은 광대주제에,1,"['지', '덜', '은', '광대', '주제', '에']"
18744,안마 제 이튠 주식 먹튀 ㅆㄹㄱ,1,"['안마', '제', '이튠', '주식', '먹튀', 'ㅆㄹㄱ']"
18745,ㅋㅋㅋㅋ 너무 순수해 보임,0,"['ㅋㅋㅋㅋ', '너무', '순수해', '보임']"
18746,오세훈 압승ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,"['오세훈', '압승', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']"
18747,에이그 쯪쯪쯧 쯔쯔 쯔 그런 놈이 널 사랑도 하겠다 여자는 빤쓰내릴 때 운명이 바뀌는 거여,1,"['에이', '그', '쯪쯪쯧', '쯔쯔', '쯔', '그런', '놈', '이', '널', '사랑', '도', '하겠다', '여자', '는', '빤', '쓰', '내릴', '때', '운명', '이', '바뀌는', '거여']"
18748,4번 뭔 시 발 퀴즈 내냐 좌회전 차선이니까 좌회전하는 줄 알지 거기서 무슨 내가 좌회전할지 직진할지 아냐고 지랄 염병 씹소리 하네 아 밤에 기분 4번 같네,1,"['4', '번', '뭔', '시', '발', '퀴즈', '내냐', '좌회전', '차선', '이니까', '좌회전', '하는', '줄', '알', '지', '거기', '서', '무슨', '내', '가', '좌회전', '할지', '직진', '할지', '아냐고', '지랄', '염병', '씹', '소리', '하네', '아', '밤', '에', '기분', '4', '번', '같네']"
18749,가다 디져라,1,"['가다', '디져라']"
18750,하 10년 후에도 이 거 보면서 웃고 있겠지ㅠㅠ,0,"['하', '10년', '후', '에도', '이', '거', '보면서', '웃고', '있겠지', 'ㅠㅠ']"
18751,파라 옷은 예쁘네,0,"['파라', '옷', '은', '예쁘네']"
18752,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ헤어 음 부 싼 남자네 므찌다,0,"['ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '헤어', '음', '부', '싼', '남자', '네', '므찌다']"
18753,응 대한민국 법 교통법 ㅂㅅ,1,"['응', '대한민국', '법', '교통법', 'ㅂㅅ']"
18754,이렇게 바로 옆에서 보니까 ㅋㅋㅋ 바쁜 와중에 어 리버리 까면 샤우팅 나갈 거 같긴 함 ㅋㅋㅋ,0,"['이렇게', '바로', '옆', '에서', '보', '니까', 'ㅋㅋㅋ', '바쁜', '와중', '에', '어', '리버', '리', '까면', '샤우팅', '나갈', '거', '같긴', '함', 'ㅋㅋㅋ']"
18755,글을 못 쓴다는 사람이 가사를 이렇게 씁니까 덕분에 위로 정말 많이 받아 요 이 사람 가사 덕분에 위로 받고 공감했고 좋은 사람이 되고 싶어졌어요 진짜 멋진 어른 나중에 책도 내줘요,0,"['글', '을', '못', '쓴다는', '사람', '이', '가사', '를', '이렇게', '씁니까', '덕분', '에', '위로', '정말', '많이', '받아', '요', '이', '사람', '가사', '덕분', '에', '위로', '받고', '공감', '했고', '좋은', '사람', '이', '되고', '싶어졌어요', '진짜', '멋진', '어른', '나중', '에', '책', '도', '내줘요']"
18756,한국은 폭행죄 벌금형 또는 구속,0,"['한국', '은', '폭행죄', '벌금형', '또는', '구속']"
18757,칼질할 때 칼이 도마에 부딪히는 소리가 조금만 작았으면 좋겠어요,0,"['칼질', '할', '때', '칼', '이', '도마', '에', '부딪히는', '소리', '가', '조금', '만', '작았으면', '좋겠어요']"
18758,근데 저 아이 욕만 할 건 아님 저 아이도 깜빡이 안 키고 김 여사 또 사고 유발자 뺑소니들보다는 훨씬 남 나중에 운전 잘해,1,"['근데', '저', '아이', '욕', '만', '할', '건', '아님', '저', '아이', '도', '깜빡이', '안', '키', '고', '김', '여사', '또', '사고', '유발', '자', '뺑소니', '들', '보다는', '훨씬', '남', '나중', '에', '운전', '잘', '해']"
18759,9번 상대 차량 병싄 같앞 ㅋㅋㅋㅋㅋㅋㅋ 경찰차 보여서 일부러 박냐,1,"['9', '번', '상대', '차량', '병싄', '같', '앞', 'ㅋㅋㅋㅋㅋㅋㅋ', '경찰차', '보', '여서', '일부러', '박냐']"
18760,그러게 요 이전 편 4번 아줌탱이와는 태도가 전혀 다르군요ㅎㅎ,1,"['그러게', '요', '이전', '편', '4', '번', '아', '줌', '탱', '이', '와는', '태도', '가', '전혀', '다르군요', 'ㅎㅎ']"
18761,대단한 친구 응원 합니다,0,"['대단한', '친구', '응원', '합니다']"
18762,여자처럼 생긴 애들이 대부분 저렇다 참고로 나는 남중 남고 군대 갔다 옴,1,"['여자', '처럼', '생긴', '애', '들', '이', '대부분', '저렇다', '참고', '로', '나', '는', '남중', '남고', '군대', '갔다', '옴']"
18763,정말 성숙하고 멋있는 사람,0,"['정말', '성숙하고', '멋있는', '사람']"
18764,다들 현실에선 좃도 못 세우 분들이 꼭 차 안에 있으면 저래 참 빡빡하게 들 산 다 좀 마음에 여유가 없나보다,1,"['다', '들', '현실', '에선', '좃', '도', '못', '세우', '분', '들', '이', '꼭', '차', '안', '에', '있으면', '저래', '참', '빡빡', '하게', '들', '산', '다', '좀', '마음', '에', '여유', '가', '없나보다']"
18765,근데 저 기계를 입을 때 일어나는 하중은 기계 무게 나갈 거 같은데,0,"['근데', '저', '기계', '를', '입', '을', '때', '일어나는', '하중', '은', '기계', '무게', '나갈', '거', '같은데']"
18766,송중기 송혜교 끼리끼리 잘 만났었네 송 중기 고향인 가 어디에 송중기 뭐 판넬인가 세워놓지 않았나 무슨 독립운동가도 아니고 개오바해 놨던 데 굉장히 꼴깝 그리고 이 종석은 지 주제를 알아야 할 거 같다 생긴 거 그 정도 아닌데,1,"['송중기', '송혜교', '끼리끼리', '잘', '만났었네', '송', '중기', '고향', '인', '가', '어디', '에', '송중기', '뭐', '판넬', '인가', '세워놓지', '않았나', '무슨', '독립운동가', '도', '아니고', '개오', '바해', '놨던', '데', '굉장히', '꼴깝', '그리고', '이', '종석', '은', '지', '주제', '를', '알아야', '할', '거', '같다', '생긴', '거', '그', '정도', '아닌데']"
18767,맞춤법 ㅇㅈ,0,"['맞춤법', 'ㅇㅈ']"
18768,참 성이라는 무기를 잘 휘두른 ㅆㄴ들 이라고 밖엔,1,"['참', '성', '이라는', '무기', '를', '잘', '휘두른', 'ㅆㄴ', '들', '이라고', '밖엔']"
18769,생긴 거는 무슨 40대에 범죄자 같이 생겼노 하늘나라 ㅂㅂ,1,"['생긴', '거', '는', '무슨', '40', '대에', '범죄자', '같이', '생겼노', '하늘나라', 'ㅂㅂ']"
18770,이현민 저정도면 ㄹㅇ 싼거에요,0,"['이현민', '저', '정도', '면', 'ㄹㅇ', '싼거에요']"
18771,왤케 나대냐 나대지 말고 사과티 비나 알려줘 그게 뭐임,1,"['왤케', '나대냐', '나대지', '말고', '사과', '티', '비', '나', '알려줘', '그게', '뭐임']"
18772,송이 선수 올림픽 때 사과 머리 보고 싶었는데 마음 한 켠에 아쉬움이 늘 있어 요시즌 때 두 배로 응원할 거예요,0,"['송이', '선수', '올림픽', '때', '사과', '머리', '보고', '싶었는데', '마음', '한', '켠에', '아쉬움', '이', '늘', '있어', '요', '시즌', '때', '두', '배', '로', '응원', '할', '거', '예요']"
18773,발라드 부르는데 카메라 뚫어져라 보는 래 퍼 쌈디,0,"['발라드', '부르는데', '카메라', '뚫어져라', '보는', '래', '퍼', '쌈디']"
18774,김 여사 ㅈ패버리고 싶다,1,"['김', '여사', 'ㅈ', '패', '버리고', '싶다']"
18775,아괜히 봐서 눈물 나네 항상 고생하십니 다 ㅠㅠ,0,"['아', '괜히', '봐서', '눈물', '나네', '항상', '고생', '하십니', '다', 'ㅠㅠ']"
18776,독신주의자가 봐야 할 영상 1위,0,"['독신', '주의자', '가', '봐야', '할', '영상', '1', '위']"
18777,대통령부터 가 간첩인데 뭘 ㅋㅋ,1,"['대통령', '부터', '가', '간첩', '인데', '뭘', 'ㅋㅋ']"
18778,하도 유튜브에서 교육하는 걸 많이 봐서 브이로그 보고 있는 저한테 그랬구나 해주실 것만 같아요,0,"['하도', '유튜브', '에서', '교육', '하는', '걸', '많이', '봐서', '브이', '로그', '보고', '있는', '저', '한테', '그랬구나', '해주실', '것', '만', '같아요']"
18779,조선족 ㅎㅇ,1,"['조선족', 'ㅎㅇ']"
18780,이제부터 우리는 연인,0,"['이제', '부터', '우리', '는', '연인']"
18781,그냥 정신이 이 상한 듯 한데,0,"['그냥', '정신', '이', '이', '상한', '듯', '한데']"
18782,두 번 신의 한 수 히트맨줄줄이 망함 골빈 마누라 때문에 ㅠㅠㅠㅠㅠ,1,"['두', '번', '신의', '한', '수', '히트', '맨', '줄줄이', '망함', '골빈', '마누라', '때문', '에', 'ㅠㅠㅠㅠㅠ']"
18783,저신소재로 옷 만들면 투명인간이 되는군,0,"['저', '신소재', '로', '옷', '만들면', '투명인간', '이', '되는군']"
18784,생긴 거부터 일진,1,"['생긴', '거', '부터', '일진']"
18785,볶음면 컵라면 먹어봤는데 엄청 짜던데 나는,0,"['볶음', '면', '컵라면', '먹어', '봤는데', '엄청', '짜던데', '나', '는']"
18786,그냥 여성분 목소리만 들어봐도 당시 심리상태가 얼마나 공포에 질렸는지 느껴집니다 ㅠㅠ,0,"['그냥', '여성', '분', '목소리', '만', '들어', '봐도', '당시', '심리', '상태', '가', '얼마나', '공포', '에', '질렸는지', '느껴집니다', 'ㅠㅠ']"
18787,신유빈 고마워요,0,"['신', '유빈', '고마워요']"
18788,흑인이 한국인 패는 건 왜 안나옴,0,"['흑인', '이', '한국인', '패', '는', '건', '왜', '안', '나옴']"
18789,스타가 되 실거 같아요,0,"['스타', '가', '되', '실거', '같아요']"
18790,응딩아 너 페미니 ㅋㅋ 얼굴상이 딱 그래보여서 ㅋㅋ,1,"['응딩', '아', '너', '페미', '니', 'ㅋㅋ', '얼굴', '상이', '딱', '그래', '보', '여서', 'ㅋㅋ']"
18791,붐 얘는 좀 나오지 말라고 해라전진 사칭에 말도 안 되는 에 도박에 싸서 쓰는 건지 아님 붐한테 꼬투리를 잡혀서 쓰는 건지,1,"['붐', '얘', '는', '좀', '나오지', '말', '라고', '해', '라', '전진', '사칭', '에', '말', '도', '안', '되는', '에', '도박', '에', '싸서', '쓰는', '건지', '아님', '붐', '한테', '꼬투리', '를', '잡혀서', '쓰는', '건지']"
18792,여자는 아무리 못생겨도 20대 때까지는 기 본 매력은 있거든 그런데 대부분 왜 연애를 못하거나 흐지부지 하냐면 이런 마인드 때문이다 적극적으로 꾸미고 운동하고 좋아하는 남자 있으면 여우짓 하고 끼부리고 그러고 그리고 남자가 대시하면 아주 하자 아니면 웬만하면 받아들여라 여자의 전성기는 20대 꺾일 때까지 고 이후로는 인생 쭉 하락세 다 고르고 골라서 나중에 좋은 남자 만나야지 하다간 청춘 다 가 고 그때부턴 눈물의 나날들이 다 그리고 여자들끼리 어울리지 마라 남자도 마찬가지 남자끼리 우우 몰려 다니지 마라 여자끼리 다녀봐야 별 쓸데없는 사상만 머리에 주입되고 무엇보다 남자가 접근하기 힘들다 결국 여자끼리 우정우정 별 쓸데없는 자기 위안이나 계속하다가 정신 차려보면 어느새 나이는 30대가 되어 있는 게 대부분 여자들의 인생 이야  한 줄 요약 정신 차려라,1,"['여자', '는', '아무리', '못', '생겨도', '20', '대', '때', '까지는', '기', '본', '매력', '은', '있거든', '그런데', '대부분', '왜', '연애', '를', '못', '하', '거나', '흐지부지', '하냐면', '이런', '마인드', '때문', '이다', '적극', '적', '으로', '꾸미고', '운동', '하고', '좋아하는', '남자', '있으면', '여우', '짓', '하고', '끼부리고', '그러고', '그리고', '남자', '가', '대시', '하면', '아주', '하자', '아니면', '웬만하면', '받아들여라', '여자', '의', '전성기', '는', '20', '대', '꺾', '일', '때', '까지', '고', '이후', '로는', '인생', '쭉', '하락', '세', '다', '고르고', '골', '라서', '나중', '에', '좋은', '남자', '만나야지', '하다', '간', '청춘', '다', '가', '고', '그때', '부턴', '눈물', '의', '나날', '들', '이', '다', '그리고', '여자', '들', '끼리', '어울리지', '마라', '남자', '도', '마찬가지', '남자', '끼리', '우우', '몰려', '다니지', '마라', '여자', '끼리', '다녀', '봐야', '별', '쓸데없는', '사상', '만', '머리', '에', '주입', '되고', '무엇', '보다', '남자', '가', '접근', '하기', '힘들다', '결국', '여자', '끼리', '우정', '우정', '별', '쓸데없는', '자기', '위안', '이나', '계속', '하다가', '정신', '차려', '보면', '어느새', '나이', '는', '30', '대가', '되어', '있는', '게', '대부분', '여자', '들', '의', '인생', '이야', '한', '줄', '요약', '정신', '차려', '라']"
18793,그래서 결론이 좋은 거예요 뭐예요 ㅋㅋㅋ 결혼 추천하는 거야 아닌 거야 어질 어질 하네용,0,"['그래서', '결론', '이', '좋은', '거', '예요', '뭐', '예요', 'ㅋㅋㅋ', '결혼', '추천', '하는', '거야', '아닌', '거야', '어질', '어질', '하네용']"
18794,국개의원들 아가리 좀 나가놓고 선 말이 많누,1,"['국', '개', '의원', '들', '아가리', '좀', '나가놓고', '선', '말', '이', '많', '누']"
18795,파킹 풀어도 급발진 하는 게 말이 됨 생각 좀 해 ㅂ신아,1,"['파킹', '풀어도', '급발진', '하는', '게', '말', '이', '됨', '생각', '좀', '해', 'ㅂ', '신아']"
18796,좌표 찍어줘 찾으러 간다,0,"['좌표', '찍어줘', '찾으러', '간다']"
18797,제아무리 안전의 볼보라도 전자장치 앞에 선 피할 수 없죠 아날로그 차가 아닌 이상 생 갈 수밖에 없을 겁니다,0,"['제아', '무리', '안전', '의', '볼보', '라도', '전자', '장치', '앞', '에', '선', '피', '할', '수', '없죠', '아날로그', '차가', '아닌', '이상', '생', '갈', '수', '밖에', '없을', '겁니다']"
18798,말투 뭔가 개 답답,1,"['말투', '뭔가', '개', '답답']"
18799,올려치기 가즈아,0,"['올려치기', '가즈', '아']"
18800,개무섭겠다 ㄷㄷ,0,"['개', '무섭겠다', 'ㄷㄷ']"
18801,절차상 말 하는 건데 한국 아줌마들 뭉치면 한 명 꼽잘 주는 건 알아줘야 돼 ㅋㅋ 이러면서 일본 이지 매욕하지,1,"['절차', '상', '말', '하는', '건데', '한국', '아줌마', '들', '뭉치', '면', '한', '명', '꼽잘', '주는', '건', '알아줘야', '돼', 'ㅋㅋ', '이러면서', '일본', '이지', '매', '욕', '하', '지']"
18802,믿고 거르는 중국산 중국 자 들어가면 망한 다 롤 판도 망조들 음,0,"['믿고', '거르', '는', '중국산', '중국', '자', '들어가면', '망한', '다', '롤', '판도', '망조', '들', '음']"
18803,많이 올려 주세요,0,"['많이', '올려', '주세요']"
18804,아 개 사료 넣은 새기가 븅시였구나 ㅋㅋㅋ 하 ㅈ 노답이네,1,"['아', '개', '사료', '넣은', '새기가', '븅시였구', '나', 'ㅋㅋㅋ', '하', 'ㅈ', '노답', '이네']"
18805,화물트럭 씹새기 나한테 한번 걸려라 배 때 지 찢어버린다,1,"['화물', '트럭', '씹', '새기', '나', '한테', '한번', '걸려라', '배', '때', '지', '찢어', '버린다']"
18806,인종차별 하지 마세요,0,"['인종차별', '하지', '마세요']"
18807,깜빡하지 말고 미리 좋아요 꾹,0,"['깜빡', '하지', '말고', '미리', '좋아요', '꾹']"
18808,니 같은 인간들은 나이가 중요하지 않다 인상 자체가 니들은 정말 최고 다 제 반망해라,1,"['니', '같은', '인간', '들', '은', '나이', '가', '중요하지', '않다', '인상', '자체', '가', '니', '들', '은', '정말', '최고', '다', '제', '반', '망해라']"
18809,생일에 올라온 선물 같은 영상 잘 보겠습니다,0,"['생일', '에', '올라온', '선물', '같은', '영상', '잘', '보겠습니다']"
18810,반대 상황이었음 남자 ㅈㄴ까겠지 ㅂㅅ 페미 쿵쾅이들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무슨 이 모랑 결혼해서 사냐 남자 부모 개 불쌍하다,1,"['반대', '상황', '이었음', '남자', 'ㅈㄴ', '까겠지', 'ㅂㅅ', '페미', '쿵쾅', '이', '들', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '무슨', '이', '모랑', '결혼', '해서', '사냐', '남자', '부모', '개', '불쌍하다']"
18811,화물차 새끼 나였으면 죽였다 개새끼가 나이 곱게 쳐 묵어라,1,"['화물차', '새끼', '나였으면', '죽였다', '개새끼', '가', '나이', '곱', '게', '쳐', '묵어라']"
18812,초반에 나오는 노래 제목 뭐에요,0,"['초반', '에', '나오는', '노래', '제목', '뭐', '에요']"
18813,약간 울퉁불퉁한 게 진짜 바위 같이 생김 ㅋㅋㅋ,0,"['약간', '울퉁불퉁한', '게', '진짜', '바위', '같이', '생김', 'ㅋㅋㅋ']"
18814,랭킹 1위들의 수난인가펜싱도 그러더니 태권도 마저 ㅜㅜ 우리도 이런데 선수들은 얼마나 아쉬 울까 결과 상관없이 고생하셨습니다,0,"['랭킹', '1', '위', '들', '의', '수난', '인가', '펜싱', '도', '그러더니', '태권도', '마저', 'ㅜㅜ', '우리', '도', '이런데', '선수', '들', '은', '얼마나', '아쉬', '울까', '결과', '상관없이', '고생', '하셨습니다']"
18815,유쾌하고 솔직한 이런 성격 너무 좋은 듯,0,"['유쾌하고', '솔직한', '이런', '성격', '너무', '좋은', '듯']"
18816,ㅋㅋㅋ 시간다 뺏기고 이게 뭐 야 앞으로는 댓글 먼저 봐야겠네,0,"['ㅋㅋㅋ', '시', '간다', '뺏기고', '이', '게', '뭐', '야', '앞', '으로는', '댓글', '먼저', '봐야겠네']"
18817,미친 인간들,1,"['미친', '인간', '들']"
18818,미친 새끼네,1,"['미친', '새끼', '네']"
18819,신고하는 거 사실 귀찮아서 사과만 하면 그냥 넘어갈 텐데 왜 지랄을 해서 헛돈들을 쓰실까 ㅋ,1,"['신고', '하는', '거', '사실', '귀찮아서', '사과', '만', '하면', '그냥', '넘어갈', '텐데', '왜', '지랄', '을', '해서', '헛돈들', '을', '쓰실까', 'ㅋ']"
18820,깨문이 들은 기프티콘 받는 거 아니면 스벅 갈 일 없습니다 ㅋㅋㅋㅋㅋ,1,"['깨문이', '들은', '기프티콘', '받는', '거', '아니면', '스벅', '갈', '일', '없습니다', 'ㅋㅋㅋㅋㅋ']"
18821,이런 게 즐거움이지조으다 조 으디ㅡ,0,"['이런', '게', '즐거움', '이지조', '으', '다', '조', '으', '디', 'ㅡ']"
18822,대깨문 집합소네 ㅋㅋㅋㅋㅋ,1,"['대', '깨문', '집합소', '네', 'ㅋㅋㅋㅋㅋ']"
18823,지하철에 경찰이나 보안 한 명씩 배치해 놔야 함 중국이나 러시아나 미국 몇몇 지역은 지하철 23칸마다 경찰 있어서 저러면 바로 잡아간 다함,0,"['지하철', '에', '경찰', '이나', '보안', '한', '명', '씩', '배치', '해', '놔야', '함', '중국', '이나', '러시아', '나', '미국', '몇몇', '지역', '은', '지하철', '23', '칸', '마다', '경찰', '있어서', '저러면', '바로', '잡아간', '다', '함']"
18824,조용히 꺼져주길,1,"['조용히', '꺼져주길']"
18825,가오잡다가 좆돼봐야 정신차리지,1,"['가오', '잡다가', '좆', '돼', '봐야', '정신차리지']"
18826,김나영 발톱의 때 만큼 도 못 사는 것들이 불쌍하다고 응원한 대 ㅋㅋㅋ 니들이 더 불쌍해 니들 시궁창 인생이나 좀 보 살피렴 ㅋㅋ,1,"['김나영', '발톱', '의', '때', '만큼', '도', '못', '사는', '것', '들', '이', '불쌍하다고', '응원', '한', '대', 'ㅋㅋㅋ', '니', '들', '이', '더', '불쌍해', '니', '들', '시궁창', '인생', '이나', '좀', '보', '살피렴', 'ㅋㅋ']"
18827,참 인종차별이란 건 100년 1000년 이 흘러도 절대 없어지지 않을 거 같다,0,"['참', '인종차별', '이란', '건', '100년', '1000년', '이', '흘러도', '절대', '없어지지', '않을', '거', '같다']"
18828,오늘의 명언 어디서 개 짓는 소리 나 네 그럼 지선이 도 표현의 자유로 욕안처 먹어야 하냐 ㅋㅋㅋㅋㅋㅋㅋ,1,"['오늘', '의', '명언', '어디서', '개', '짓는', '소리', '나', '네', '그럼', '지선', '이', '도', '표현', '의', '자유로', '욕', '안처', '먹어야', '하냐', 'ㅋㅋㅋㅋㅋㅋㅋ']"
18829,ㅋ ㅋㅋㅋ 저게 키 이스트 교수 등신,1,"['ㅋ', 'ㅋㅋㅋ', '저', '게', '키', '이스트', '교수', '등신']"
18830,그 문제가 이 영상에서 왜 나오죠 굳이 성별 갈등 평행선 달리는 분란만 일으킬 댓글인데 추모할 거면 추모만 하세요 댓글 창 더럽히지 말고,0,"['그', '문제', '가', '이', '영상', '에서', '왜', '나오죠', '굳이', '성별', '갈등', '평행선', '달리는', '분란', '만', '일으킬', '댓글', '인데', '추모', '할', '거', '면', '추모', '만', '하세요', '댓글', '창', '더럽히지', '말고']"
18831,메갈은 정신병입니다,1,"['메', '갈은', '정신병', '입니다']"
18832,아기호랑이랑 반달가슴곰 2마리,0,"['아기', '호랑이', '랑', '반달가슴곰', '2', '마리']"
18833,이명박 탈옥방씨 일가 패륜 사건 물타기,1,"['이명박', '탈옥', '방씨', '일가', '패륜', '사건', '물', '타기']"
18834,진짜 이번 올림픽 최고의 순간 중 하나라고 해도 좋을 정도로 최고였다,0,"['진짜', '이번', '올림픽', '최고', '의', '순간', '중', '하나', '라고', '해도', '좋을', '정도', '로', '최고', '였다']"
18835,항상 잘 보고 있어 요송이님 진솔한 얘기 잘 들었어요 단단 한 분이 시네요 윰님송이님 응원해요,0,"['항상', '잘', '보고', '있어', '요', '송이', '님', '진솔한', '얘기', '잘', '들었어요', '단단', '한', '분', '이', '시', '네', '요', '윰', '님', '송이', '님', '응원', '해요']"
18836,에서 터졌네요 ㅋㅋㅋㅋㅋ,0,"['에서', '터졌네요', 'ㅋㅋㅋㅋㅋ']"
18837,역시 잼민이들이 문제야 여기 악플달면 찔리는 거로 알겠음,1,"['역시', '잼민', '이', '들이', '문제', '야', '여기', '악플달면', '찔리는', '거', '로', '알겠음']"
18838,ㅋㅋㅋㅋㅋㅋ 겁나 재밌 다문 채원 언니 진짜 대박이당 좀 놀던 언니인가봐요 ㅋㅋㅋㅋㅋㅋ,0,"['ㅋㅋㅋㅋㅋㅋ', '겁나', '재밌', '다문', '채원', '언니', '진짜', '대박', '이', '당', '좀', '놀던', '언니', '인가', '봐요', 'ㅋㅋㅋㅋㅋㅋ']"
18839,요즘 세상에 이런 일이라 군대는 아직도 개혁이 너무나도 절실히 필요한 곳이다,0,"['요즘', '세상', '에', '이런', '일이', '라', '군대', '는', '아직도', '개혁', '이', '너무나도', '절실', '히', '필요한', '곳', '이다']"
18840,아즘마 개웃 김신고충 세 끼는 더 좃 같다고 생각한다,1,"['아즘마', '개웃', '김신', '고충', '세', '끼는', '더', '좃', '같다고', '생각', '한다']"
18841,댓글마다 ㅄ관종 잼민이들 한 명씩 있네,1,"['댓글', '마다', 'ㅄ', '관종', '잼민', '이', '들', '한', '명', '씩', '있네']"
18842,시팔 놈헌 쳐들어가라고 한시,1,"['시', '팔', '놈헌', '쳐', '들어가라고', '한시']"
18843,ㅅㅂ 년 임 ㄹㅇ,1,"['ㅅㅂ', '년', '임', 'ㄹㅇ']"
18844,여기 나온 2019년도 물풍선만 해도 엄청 웃긴데 다들 과거만 찾으시네,0,"['여기', '나온', '2019년', '도', '물풍선', '만', '해도', '엄청', '웃긴데', '다', '들', '과거', '만', '찾으시네']"
18845,나 높이뛰기 좋아하네,0,"['나', '높이뛰기', '좋아하네']"
18846,영상보는데 눈물나고 안타깝고 화가 납니 다소방관님들 너무 고생 하시고 너무 감사하고 감사합니다ㅠㅠ삼가 고인의 명복을 빕니다 ㅠㅠ,0,"['영상', '보는데', '눈물나고', '안타깝고', '화가', '납', '니', '다소', '방관', '님', '들', '너무', '고생', '하시고', '너무', '감사하고', '감사합니다', 'ㅠㅠ', '삼가', '고인', '의', '명복', '을', '빕니다', 'ㅠㅠ']"
18847,소개만 했는데 래 전드 ㅋㅋㅋ 웃기네,0,"['소개', '만', '했는데', '래', '전드', 'ㅋㅋㅋ', '웃기', '네']"
18848,언니나 언니 보고 싶어서 뉴스까지 찾아보고 있어,0,"['언니', '나', '언니', '보고', '싶어서', '뉴스', '까지', '찾아보고', '있어']"
18849,애는 없지만 정신적인 맨 토십니다오은영 박사님 티비에 자주 나와 주세요,0,"['애', '는', '없지만', '정신', '적', '인', '맨', '토', '십', '니', '다오', '은영', '박사', '님', '티비', '에', '자주', '나와', '주세요']"
18850,아 저 망토 해리포터 껀 데,0,"['아', '저', '망토', '해리포터', '껀', '데']"
18851,8번째는 한국에 도로 관리하는 개좆 공무원 새끼들아 한마디 하자 왕복이 차선이 주차 가능한 지역으로 해놓는 개좆새끼들이 어디 있냐니 들 지도만 보고 선 긋지 말고 직접 현장 다니면서 선 그어라 개좆 가튼 도로 관리한다는 새끼들,1,"['8', '번', '째', '는', '한국', '에', '도로', '관리', '하는', '개좆', '공무원', '새끼', '들', '아', '한마디', '하자', '왕복', '이', '차선', '이', '주차', '가능한', '지역', '으로', '해놓는', '개좆', '새끼', '들', '이', '어디', '있냐니', '들', '지도', '만', '보고', '선', '긋지', '말고', '직접', '현장', '다니면서', '선', '그', '어', '라', '개좆', '가', '튼', '도로', '관리', '한다는', '새끼', '들']"
18852,근데 트위터에 골 빈 년 골빈놈들 존 나 많음 ㄹㅇ 사람 년놈들 맞나 싶을 정도로 ㅋ,1,"['근데', '트위터', '에', '골', '빈', '년', '골빈놈', '들', '존', '나', '많음', 'ㄹㅇ', '사람', '년놈', '들', '맞나', '싶을', '정도', '로', 'ㅋ']"
18853,나이 차이 실화,0,"['나이', '차이', '실화']"
18854,김정민 배우님 노래 정말 잘 하시네요,0,"['김정민', '배우', '님', '노래', '정말', '잘', '하시네요']"
18855,영상 제목을 진짜 센스 있게 지으시네요 ㅋㅋㅋ이형 센스도 좋네,0,"['영상', '제목', '을', '진짜', '센스', '있게', '지으시네요', 'ㅋㅋㅋ', '이형', '센스', '도', '좋네']"
18856,너무 뼈를 잘 때리시는 데,0,"['너무', '뼈', '를', '잘', '때리시는', '데']"
18857,아 ㅋㅋㅋㅋㅋ 진짜 슈프림 먹ㄴ는데 내가 배 부르네 진짜 ㅋㅋㅋㅋㅋㅋ 리액션 너무 귀여운 거 아니냐구요,0,"['아', 'ㅋㅋㅋㅋㅋ', '진짜', '슈프림', '먹', 'ㄴ', '는데', '내', '가', '배', '부르네', '진짜', 'ㅋㅋㅋㅋㅋㅋ', '리액션', '너무', '귀여운', '거', '아니냐구요']"
18858,전에는 이런 일이 있어 고 이슈 화 안 되고 쉬쉬하며 넘어갔지만 시대가 변하면서 점점 좋은 방향으로 갈 거라고 봅니다,0,"['전', '에는', '이런', '일이', '있어', '고', '이슈', '화', '안', '되고', '쉬쉬', '하며', '넘어갔지만', '시대', '가', '변하면서', '점점', '좋은', '방향', '으로', '갈', '거', '라고', '봅니다']"
18859,이창명이 파도 파고 쓰레기구나,1,"['이창명', '이', '파도', '파고', '쓰레기', '구나']"
